Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
Black Bat	Adventures_at_Hogwarts	Black_Bat	Creature - Bat	4F	2	1	C		Creatures	When you play this card, do 2 damage to your opponent.
Blagging	Chamber_of_Secrets	Blagging	Spell	11Q			R		Quidditch	Do 8 damage to your opponent. Then, if your opponent has any cards in play (other than his or her starting Character), he or she chooses 1 of them and discards it.
Blocked Barrier	Chamber_of_Secrets	Blocked_Barrier	Adventure				U			Effect: Your opponent can't use Actions to play Location cards.  To Solve: Your opponent chooses 2 Location cards in his or her hand and discards them.  Opponent's Reward: Once during this turn, when your opponent uses an Action to play a Location card, he or she gets 2 more actions this turn.
Blocked!	Chamber_of_Secrets	Blocked	Spell	5Q			U		Quidditch	Draw 4 cards. Then your opponent may choose a Lesson card in his or her hand and discard it. If he or she does, you choose 3 cards in your hand and discard them.
Bloodroot Poison	Quidditch_Cup	Bloodroot_Poison	Spell	2P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. Do 4 damage to your opponent or to a Creature of your choice.
Bludger	Quidditch_Cup	Bludger	Item	4Q			R		Quidditch	Before each of your turns, Bludger does 3 damage to your opponent if a match is in play. (If there isn't a Match in play, Bludger does no damage.)
Bludger Bop	Adventures_at_Hogwarts	Bludger_Bop	Spell	6Q			U		Quidditch	Your opponent chooses 1 of his or her cards in play (other than his or her starting Character) and discards it. Then, if he or she has any cards in his or her hand, he or she chooses 1 of them and discards it.
Bludger in the Stands	Diagon_Alley	Bludger_in_the_Stands	Spell	6Q			C		Quidditch	Do 4 damage to your opponent. Then, if your opponent has any Items in play, he or she chooses 1 of them and discards it.
Blue Wig	Diagon_Alley	Blue_Wig	Spell	6C			C		Charms	Do 4 damage to your opponent. Then draw a card.
Bluebell Flames	Base_Set	Bluebell_Flames	Spell	7C			U		Charms	Do 4 damage to your opponent or to a Creature of your choice.
Bluebottle Broom	Diagon_Alley	Bluebottle_Broom	Item - Healing Broom	4Q			U		Quidditch	Provides [Q].  You may use an Action to put a non-Healing card from your discard pile on the bottom of your deck. If you play this card, and you already have a Broom in play, discard the old one.
Boa Constrictor	Base_Set	Boa_Constrictor	Creature - Snake	4F	2	2	C		Creatures	
Body Blow	Chamber_of_Secrets	Body_Blow	Spell	7Q			R		Quidditch	Do 8 damage to your opponent. Then your opponent may choose a Lesson card in his or her hand and discard it. If he or she does, you take 8 damage.
Boil Cure	Base_Set	Boil_Cure	Spell - Healing	1P			C		Potions	Put up to 4 non-Healing cards from your discard pile on the bottom of your deck (in any order).
Borrowed Wand	Base_Set	Borrowed_Wand	Item - Wand	3C			C		Charms	Provides 2[C].  If you play this card, and you already have a Wand in play, discard the old one.
Bravado	Quidditch_Cup	Bravado	Spell	3C			C		Charms	For the rest of this turn, your Spell cards need 5 less Power to play. (You will still need at least 1 Power that matches.)
Broken Wand	Chamber_of_Secrets	Broken_Wand	Item - Wand	2C			R		Charms	Provides [C].  You may use an Action to reveal the top card of your deck. If it's a Lesson card, put it into play. If it's not a Lesson card, discard it. If you play this card and you already have a Wand in play, discard the old one.
Bruisewort Balm	Quidditch_Cup	Bruisewort_Balm	Spell - Healing	3P			C		Potions	Shuffle up to 5 non-Healing cards from your discard pile into your deck.
Bucking Broomstick	Adventures_at_Hogwarts	Bucking_Broomstick	Spell	7Q			C		Quidditch	Do 3 damage to your opponent. Then, if your opponent has any cards in his or her hand, he or she chooses 2 of them and discards them (1 if he or she only has 1).
Bulgeye Potion	Diagon_Alley	Bulgeye_Potion	Item - Bulgeye Potion	10P			R		Potions	You may use an Action and discard this card from play to do 13 damage to your opponent.
Bundimun Ooze	Chamber_of_Secrets	Bundimun_Ooze	Spell	5P			U		Potions	Your opponent chooses 1 of his or her Creatures or Items in play and discards it. Then he or she takes damage equal to that card's printed Power cost.
Burning Bitterroot Balm	Base_Set	Burning_Bitterroot_Balm	Spell - Healing	6P			U		Potions	To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 10 non-Healing cards from your discard pile into your deck.
Butterfly Weed Balm	Diagon_Alley	Butterfly_Weed_Balm	Spell - Healing	5P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 9 non-Healing cards from your discard pile into your deck.
Cage	Base_Set	Cage	Item	2F			U		Creatures	Provides [F].  During your turn, you may discard this card from play and use an Action to choose a Creature in play (yours or your opponent's) and return it to it's owner's hand.
Cancelled Practice	Diagon_Alley	Cancelled_Practice	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [Q] Lessons in play and discard it.
Candy Cart	Adventures_at_Hogwarts	Candy_Cart	Adventure				U			Play this card only if you have at least 3 Lessons in play.  Effect: Before each of your opponent's turns, he or she draws 3 cards and then chooses 3 cards in his or her hand and discards them.  To Solve: Your opponent takes 10 damage.  Opponent's Reward: Your opponent may draw a card.
Care of Magical Creatures	Base_Set	Care_of_Magical_Creatures	Lesson				C		Lesson - Creatures	Provides [F]
Catch the Snitch	Quidditch_Cup	Catch_the_Snitch	Spell	7Q			R		Quidditch	You win the current Match. (You get the Prize.)
Catching Apples	Chamber_of_Secrets	Catching_Apples	Spell	5Q			C		Quidditch	Do 3 damage to your opponent. Then, if your opponent has any cards in play (other than his or her starting Character) he or she chooses 1 of them and returns it to his or her hand.
Caught by Snape	Chamber_of_Secrets	Caught_by_Snape	Adventure				U			Effect: Your opponent can't use Actions to play any cards except Lesson cards.  To Solve: Your opponent uses actions to play Lesson cards 3 times. (Those Actions don't need to be one right after the other.)  Opponent's Reward: Your opponent may put any number of Lesson cards from his or her hand into play.
Caught!	Chamber_of_Secrets	Caught	Spell	6T			U		Transfiguration	Choose 1 of your opponent's cards in play (other than his or her starting Character) and discard it. Your opponent may prevent this by choosing 4 cards his or her hand and discarding them.
Cauldron Cakes	Adventures_at_Hogwarts	Cauldron_Cakes	Spell - Healing Candy	1P			C		Potions	Choose up to 2 non-Healing cards from your discard pile and put them on the bottom of your deck (in any order). When draw a card. (Cauldron Cakes isn't really a Cauldron.)
Cauldron Shop	Diagon_Alley	Cauldron_Shop	Location	3P			U		Potions	When you play this card, discard any other Location from play (yours or your opponent's). Either player may use an Action to search his or her deck. That player may take an Item card from his or her deck that needs [P] Power, show it to his or her opponent and put it into his or her hand. Then the player shuffles his or her deck.
Cauldron to Sieve	Base_Set	Cauldron_to_Sieve	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [P] Lessons in play and discard it.
Charms	Base_Set	Charms	Lesson				C		Lesson - Charms	Provides [C]
Charms Accident	Adventures_at_Hogwarts	Charms_Accident	Spell	2C			C		Charms	Do 2 damage to your opponent. You may also choose a non-Healing Item in play and return it to its owner's hand.
Charms Exam	Quidditch_Cup	Charms_Exam	Spell	7C			R		Charms	Your opponent discards his or her hand. Then he or she may draw any number of cards.
Checked!	Chamber_of_Secrets	Checked	Spell	3Q			U		Quidditch	Do 4 damage to your opponent. Then your opponent may choose a Lesson card in his or her hand and discard it. If he or she does, you take 4 damage.
Chimaera	Adventures_at_Hogwarts	Chimaera	Creature - Chimaera	7F	4	2	C		Creatures	
Chocolate Frogs	Quidditch_Cup	Chocolate_Frogs	Spell	1C			U		Charms	Search your deck. You may take a Wizard or a Witch card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Christmas Feast	Diagon_Alley	Christmas_Feast	Spell	4C			R		Charms	Put up to 4 non-Healing Item cards from your discard pile into your hand.
Chudley Cannons Robes	Chamber_of_Secrets	Chudley_Cannons_Robes	Item	3Q			C		Quidditch	You may use an Action to put up to 2 cards from your hand on the bottom of your deck (in any order).
Cleansweep Five	Chamber_of_Secrets	Cleansweep_Five	Item - Broom	3Q			U		Quidditch	Provides [Q].  When you play this card, look at the top 2 cards of your deck (1 if there is only 1) and put both of them on the bottom or back on top of your deck in any order. If you play this card, and you already have a Broom in play, discard the old one.
Cleansweep Seven	Quidditch_Cup	Cleansweep_Seven	Item - Broom	2Q			C		Quidditch	Provides [Q].  When you play this card, look at the top 4 cards of your deck and put them back on top in any order. (If there are fewer than 4, look at all of them.) If you play this card, and you already have a Broom in play, discard the old one.
Cobbing	Quidditch_Cup	Cobbing	Spell	7Q			C		Quidditch	Do 4 damage to your opponent. Then, if your opponent has any cards in play,he or she chooses 1 of them and discards it.
Cobra Lily	Quidditch_Cup	Cobra_Lily	Creature - Plant	5F	2	3	C		Creatures	At the end of each of your turns, remove all damage counters from Cobra Lily.
Colin Creevey	Chamber_of_Secrets	Colin_Creevey	Character - Wizard - Gryffindor				R	Unique		Once per turn, you may use an Action to draw 3 cards and then make your opponent draw 3 cards.
Collapsible Cauldron	Adventures_at_Hogwarts	Collapsible_Cauldron	Item - Cauldron	6P			U		Potions	Provides 3[P].  To play this card, discard 1 of your [P] Lessons from play. If this card is discarded from play, put it into your hand.
Colloshoo	Diagon_Alley	Colloshoo	Spell	3C			U		Charms	Look at your opponent's hand. If there are any Item cards there, choose 1 of them and discard it.
Colour-Changing Ink	Diagon_Alley	Colour-Changing_Ink	Item	4T			R		Transfiguration	You may use an Action to count the cards in your hand. Put them all on the bottom of your deck (in any order), and then draw that many cards.
Comet Two Sixty	Quidditch_Cup	Comet_Two_Sixty	Item - Broom	3Q			U		Quidditch	Provides [Q].  Once during each of your opponent's turns, you may prevent 1 damage done to you. If you play this card, and you already have a Broom in play, discard the old one.
Confundus	Base_Set	Confundus	Spell	5C			U		Charms	Your opponent chooses 2 cards in his or her hand and discards them (1 if he or she only has 1).
Copper Cauldron	Chamber_of_Secrets	Copper_Cauldron	Item - Cauldron	3P			C		Potions	Provides 2[P].  To play this card, return 1 of your [P] Lessons from play to your hand.
Counter Curse	Chamber_of_Secrets	Counter_Curse	Spell	5T			U		Transfiguration	Choose 1 of your opponent's Creatures in play and put it on the bottom of his or her deck.
Crabbe & Goyle	Adventures_at_Hogwarts	Crabbe_&_Goyle	Character - Wizard - Slytherin				R	Unique		You may use an Action and discard 2 cards from your hand to do 3 damage to your opponent.
Crazed Capybara	Chamber_of_Secrets	Crazed_Capybara	Creature - Capybara	7F	3	3	R		Creatures	When you play this card, draw a card.
Cunning Fox	Quidditch_Cup	Cunning_Fox	Creature - Fox	5F	3	1	C		Creatures	
Curious Raven	Base_Set	Curious_Raven	Creature - Bird	2F	1	1	C		Creatures	
Dean Thomas	Base_Set	Dean_Thomas	Character - Wizard - Gryffindor				R	Unique		Once per game, you may draw 3 cards.
Death-Cap Draught	Chamber_of_Secrets	Death-Cap_Draught	Spell	5P			C		Potions	To play this card, return 1 of your [P] Lessons from play to your hand. Do 6 damage to your opponent or to a Creature of your choice.
Deboning	Chamber_of_Secrets	Deboning	Spell	7T			C		Transfiguration	During your opponent's next turn, he or she can't use Actions to play cards.
Defence!	Quidditch_Cup	Defence	Spell	10Q			U		Quidditch	During your opponent's next turn, prevent all damage done to you.
De-Gnoming the Garden	Chamber_of_Secrets	De-Gnoming_the_Garden	Adventure				R			Play this card only if you have at least 5 Lessons in play.  Effect: At the end of each of your opponent's turns, if he or she has any cards in his or her hand, he or she chooses 1 of them and discards it.  To Solve: Your opponent discards 5 cards in this way.  Opponent's Reward: Your opponent may draw a card.
Delivery Owl	Base_Set	Delivery_Owl	Creature - Owl	2F		1	R		Creatures	To play this card, discard 1 of your [F] Lessons from play. Before each of your turns, draw a card.
Desk Into Pig	Quidditch_Cup	Desk_Into_Pig	Spell	1T			C		Transfiguration	To play this card, discard 1 of your Lessons from play. Search your deck. You may take up to 3 Creature cards from your deck, show them to your opponent and put them into your hand. Then shuffle your deck.
Detention!	Adventures_at_Hogwarts	Detention	Adventure				R			Effect: Your opponent can't use Actions to play Adventure cards.  To Solve: Your opponent chooses 2 Adventure cards in his or her hand and discards them.  Opponent's Reward: Your opponent may draw a card.
Devil's Snare	Quidditch_Cup	Devil's_Snare	Creature - Plant	4F	2	6	U		Creatures	To play this card, discard 1 of your [F] Lessons from play. At the end of each of your turns, remove all damage counters from Devil's Snare.
Diagon Alley	Base_Set	Diagon_Alley	Adventure				U			Effect: Your opponent can't use Actions to draw cards.  To Solve: Your opponent skips a total of 7 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: Your opponent may draw any number of cards.
Diffindo	Quidditch_Cup	Diffindo	Spell	8T			U		Transfiguration	Choose 1 of your opponent's cards in play (other than his or her starting Character). Your opponent discards that card.
Dizziness Draught	Chamber_of_Secrets	Dizziness_Draught	Spell	4P			C		Potions	Do 4 damage to your opponent. During your opponent's next turn, he or she can't use Actions to play Quidditch cards.
Dobby's Disappearance	Chamber_of_Secrets	Dobby's_Disappearance	Spell	4T			R		Transfiguration	Choose 1 of your opponent's cards in play (other than his or her starting Character) and return it to his or her hand. You get 1 more Action this turn.
Dobby's Help	Chamber_of_Secrets	Dobby's_Help	Spell	10C			R		Charms	Your opponent draws 10 cards.
Dog Biscuits	Diagon_Alley	Dog_Biscuits	Spell	1F			C		Creatures	Remove all damage counters (if any) from 1 of your Creatures in play. Then draw a card.
Dog Bite	Adventures_at_Hogwarts	Dog_Bite	Spell	4F			C		Creatures	Choose a Creature in play. That Creature does damage to your opponent equal to that Creature's printed Damage each turn.
Dogbane Potion	Diagon_Alley	Dogbane_Potion	Spell	5P			C		Potions	Choose 1 of your opponent's Creatures in play and do 3 damage to it.
Dogbreath Potion	Base_Set	Dogbreath_Potion	Spell	6P			U		Potions	To play this card, discard 1 of your [P] Lessons from play. Do 8 damage to your opponent or to a Creature of your choice.
Double-Beater Defence	Chamber_of_Secrets	Double-Beater_Defence	Spell	8Q			R		Quidditch	To play this card, discard 2 other cards from your hand. Do 5 damage to your opponent. Then, if your opponent has any cards in his or her hand, he or she chooses 2 of them and discards them (1 if he or she only has 1).
Doxy	Quidditch_Cup	Doxy	Creature - Fairy	6F	2	1	U		Creatures	When you play this card, you may choose another Creature in play. Do 2 damage to it.
Draco Malfoy	Base_Set	Draco_Malfoy	Character - Wizard - Slytherin				R	Unique		During your turn, you may use an Action and discard a card from your hand to look at your opponent's hand. You may then choose one card in his or her hand and discard it.
Draco Malfoy, Slytherin	Diagon_Alley	Draco_Malfoy_Slytherin	Character - Wizard - Slytherin				R	Unique		Once during each of your turns, when you use an Action to play an Item card, you get 1 more Action that turn.
Draco the Seeker	Chamber_of_Secrets	Draco_the_Seeker	Character - Wizard - Slytherin				R	Unique		If your opponent has any cards in his or her hand, you may use an Action to make him or her choose 1 of them and discard it.
Draco's Trick	Base_Set	Draco's_Trick	Spell	7T			U		Transfiguration	Discard the Adventure you've played. You get the reward.
Dragon Heart Wand	Base_Set	Dragon_Heart_Wand	Item - Wand	5C			U		Charms	Provides 3[C].  Play this card only if you have cards in play that provides at least 2[C] Power. If you play this card, and you already have a Wand in play, discard the old one.
Dragon Poison	Chamber_of_Secrets	Dragon_Poison	Spell	7P			R		Potions	To play this card, return 2 of your [P] Lessons from play to your hand. Do 10 damage to your opponent or to a Creature of your choice.
Dragon-Dung Compost	Chamber_of_Secrets	Dragon-Dung_Compost	Item	7F			U		Creatures	Before each of your turns, count the number of other Plants you have in play. Do that much damage to your opponent.
Dragon-Hide Gloves	Diagon_Alley	Dragon-Hide_Gloves	Item	8F			R		Creatures	Whenever a Creature does damage to you, prevent 1 of that damage.
Dragon's Blood	Adventures_at_Hogwarts	Dragon's_Blood	Spell	7P			R		Potions	To play this card, discard 2 of your [P] Lessons from play. Do 11 damage to your opponent or to a Creature of your choice.
Dragon's Escape	Base_Set	Dragon's_Escape	Adventure				R			Effect: Before each of your turns, your opponent takes 1 damage.  To Solve: Your opponent chooses 3 of his or her Lessons in play and discards them.  Opponent's Reward: Your opponent draws 3 cards or does 3 damage to you.
Draught of Living Death	Base_Set	Draught_of_Living_Death	Spell	8P			R		Potions	To play this card, discard 2 of your [P] Lessons from play. Do 12 damage to your opponent or to a Creature of your choice.
Drowsiness Draught	Quidditch_Cup	Drowsiness_Draught	Spell	8P			C		Potions	Do 3 damage to your opponent. During your opponent's next turn, he or she can't use Actions to play Lesson cards.
Dumbledore's Office	Chamber_of_Secrets	Dumbledore's_Office	Location	5T			R	Unique	Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). All Item cards (yours and your opponent's) need 3 less Power to play. (You still need at least 1 Power that matches.)
Dumbledore's Watch	Adventures_at_Hogwarts	Dumbledore's_Watch	Item	9T			R	Unique	Transfiguration	If this card is in play before your turn, discard all cards (other than each player's starting Character) from play (including this card).
Dungbomb	Base_Set	Dungbomb	Spell	2P			C		Potions	During your opponent's next turn, prevent all damage done to you by your opponent's Adventures and Creatures.
Earmuffs	Chamber_of_Secrets	Earmuffs	Item	7F			U		Creatures	Once during each of your turns, you may choose 1 of your opponent's Creatures in play. Prevent up to 3 damage from that Creature on your opponent's next turn.
Eel Eyes	Diagon_Alley	Eel_Eyes	Item - Eel Eyes	1P			U		Potions	When you play this card, look at your opponent's hand. You may use an Action to discard this and Beetle Eyes from play to search your deck. You may take a Bulgeye Potion card from your deck and put it into play. Then shuffle your deck.
Eeylops Owl Emporium	Diagon_Alley	Eeylops_Owl_Emporium	Location	4F			R	Unique	Creatures	When you play this card, discard any other Location from play (yours or your opponent's). Each Owl has 1 more Health. Whenever an Owl does damage, it does 1 more damage.
Elixir of Life	Base_Set	Elixer_of_Life	Spell - Healing	10P			R		Potions	To play this card, discard 2 of your [P] Lessons from play. Shuffle up to 16 non-Healing cards from your discard pile into your deck.
Endless Sandwiches	Chamber_of_Secrets	Endless_Sandwiches	Spell	7C			U		Charms	Play this card only if you have fewer than 7 other cards in your hand. Draw cards until you have 7 cards in your hand.
End-of-Year Feast	Adventures_at_Hogwarts	End-of-Year_Feast	Spell	4C			R		Charms	Put up to 4 Adventure cards from your discard pile into your hand.
Engorgement Charm	Chamber_of_Secrets	Engorgement_Charm	Spell	5C			C		Charms	Remove all damage counters from all of your Creatures in play.
Entrancing Enchantments	Chamber_of_Secrets	Entrancing_Enchantments	Spell	2C			R		Charms	Search your deck. You may take a Character card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck. 
Epoximise	Base_Set	Epoximise	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [C] Lessons in play and discard it.
Errol	Chamber_of_Secrets	Errol	Creature - Owl	3F	1	1	R	Unique	Creatures	When you play this card, reveal the top card of your deck. If it's a Lesson card, put it into play. If it isn't, put it back on top of your deck.
Erumpent Potion	Base_Set	Erumpent_Potion	Spell	3P			C		Potions	Do 1 damage to your opponent or to a Creature of your choice.
Escaping the Dursleys	Chamber_of_Secrets	Escaping_the_Dursleys	Adventure				R			Effect: Your opponent can't use Actions to play any cards except Lesson cards.  To Solve: Your opponent discards his or her hand.  Opponent's Reward: Your opponent searches his or her deck for any card, puts it into his or her hand and then shuffles his or her deck.
Evanesce	Chamber_of_Secrets	Evanesce	Spell	7T			C		Transfiguration	Choose a Creature or Lesson in play and discard it.
Every-Flavor Beans	Adventures_at_Hogwarts	Every-Flavor_Beans	Spell - Candy	1T			C		Transfiguration	Reveal the top 2 cards of your deck. Put into play any Lesson cards you revealed. Put into your discard pile any non-Lesson cards you revealed. Then draw a card.
Family Ghoul	Chamber_of_Secrets	Family_Ghoul	Creature - Ghoul	3F	2	2	C		Creatures	To play this card, return 1 of your Creatures in play to your hand.
Fang	Adventures_at_Hogwarts	Fang	Creature - Dog	8F	4	7	R	Unique	Creatures	To play this card, discard 1 of your [F] Lessons from play. When you play this card, do 4 damage to your opponent.
Fantastic Beasts & Where to Find Them	Diagon_Alley	Fantastic_Beasts_&_Where_to_Find_Them	Item - Book	2F			C		Creatures	Provides [F].  You may use an Action and discard this card from play to draw 3 cards.
Fat Friar	Chamber_of_Secrets	Fat_Friar	Character - Healing - Ghost - Hufflepuff				R	Unique		Once per game, you may draw 2 cards, then do 2 damage to your opponent and then put up to 2 non-Healing cards from your discard pile on the bottom of your deck (in any order).
Fatiguing Fusion	Chamber_of_Secrets	Fatiguing_Fusion	Spell	8P			C		Potions	To play this card, return 1 of your [P] Lessons from play to your hand. Do 9 damage to your opponent or to a Creature of your choice.
Fawkes	Chamber_of_Secrets	Fawkes	Creature - Phoenix	12F		4	R	Unique	Creatures	Each turn, you may prevent 4 damage done to you. If Fawkes is discarded from play, put it into your hand.
Fighting the Basilisk	Chamber_of_Secrets	Fighting_the_Basilisk	Adventure				R			Play this card only if you have at least 7 Lessons in play.  Effect: Before each of your turns, your opponent takes 5 damage.  To Solve: Your opponent chooses 4 of his or her cards in play (other than his or her starting Character) and discards them.  Opponent's Reward: You take 5 damage.
Finding the Platform	Adventures_at_Hogwarts	Finding_the_Platform	Adventure				R			Effect: Your opponent can't use Actions to play Location cards.  To Solve: Your opponent lets you search your deck. You may take up to 2 Location cards from your deck, show them to your opponent and put them into your hand. Then shuffle your deck.  Opponent's Reward: Your opponent may put a Lesson card from his or her hand into play.
Fire Protection Potion	Adventures_at_Hogwarts	Fire_Protection_Potion	Spell	3P			C		Potions	Do 3 damage to your opponent. During your opponent's next turn, prevent all damage done to you by Spell cards.
Flacking	Chamber_of_Secrets	Flacking	Spell	3Q			C		Quidditch	Do 2 damage to your opponent. Then, if your opponent has any cards in his or her hand, he or she chooses 1 of them and discards it.
Flipendo	Diagon_Alley	Flipendo	Spell	2C			C		Charms	Do 2 damage to your opponent or to a Creature of your choice.
Floo Powder	Chamber_of_Secrets	Floo_Powder	Spell	2T			U		Transfiguration	Search your deck. You may take a Location card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Flourish and Blotts	Diagon_Alley	Flourish_and_Blotts	Location	3T			R	Unique	Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). Either player may use an Action and discard 2 of his or her Lessons from play to draw 5 cards.
Fluffy Falls Asleep	Base_Set	Fluffy_Falls_Asleep	Spell	3F			C		Creatures	Choose a Creature in play and return it to its owner's hand.
Fluffy	Quidditch_Cup	Fluffy	Creature - Dog	10F	12	21	R	Unique	Creatures	To play this card, discard 2 of your [F] Lessons from play.
Flying Car	Chamber_of_Secrets	Flying_Car	Item	8C			R		Charms	You may use an Action to choose an Adventure or a Location in play and discard it. (If you discard an Adventure, you don't get the reward.)
Flying Laps	Chamber_of_Secrets	Flying_Laps	Spell	10Q			R		Quidditch	Count the number of Lessons you have in play. Do that much damage to your opponent. Then draw that many cards.
Flying Motorbike	Adventures_at_Hogwarts	Flying_Motorbike	Spell	3T			U		Transfiguration	Choose an Adventure or Location in play and discard it. (If you discard an Adventure, you don't get the reward.)
Flying Practice	Adventures_at_Hogwarts	Flying_Practice	Adventure				U			Effect: Spell cards that need [Q] Power use up 2 of your opponent's Actions instead of 1.  To Solve: Your opponent discards 4 cards that need [Q] Power from his or her hand.  Opponent's Reward: You take 2 damage.
