Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
Harry Hunting	Base_Set	Harry_Hunting.png	Adventure				R			Effect: Your opponent's Creature and Spell cards need 2 more Power to play.  To Solve: Your opponent chooses 7 cards in his or her hand and discards them.  Opponent's Reward: Your opponent may put a Lesson card from his or her discard pile into play.
Harry Potter	Base_Set	Harry_Potter.png	Character - Wizard - Gryffindor				R	Unique		"Whenever you use an Action to draw a card, you may draw 2 cards instead of 1."
Hermione Granger	Base_Set	Hermione_Granger.png	Character - Witch - Gryffindor				R	Unique		"If you already have 2 or more Lessons in play, then whenever you use an Action to play a Lesson card, you may play 2 Lesson cards instead of 1."
Hiding From Snape	Base_Set	Hiding_From_Snape.png	Adventure				U			Effect: Your opponent can't play Item cards.  To Solve: Your opponent chooses 4 Item cards in his or her hand and discards them.  Opponent's Reward: Your opponent may search his or her deck for any card and put it into his or her hand. Then your opponent shuffles his or her deck.
History of Magic	Base_Set	History_of_Magic.png	Spell	2C			R		Charms	Look at your opponent's hand. Discard all Adventure cards from it.
Homework	Base_Set	Homework.png	Spell	2T			C		Transfiguration	Put up to 2 Lesson cards from your hand into play.
Hospital Wing	Base_Set	Hospital_Wing.png	Spell - Healing	4P			C		Potions	"To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 8 non-Healing cards from your discard pile into your deck."
Human Chess Game	Base_Set	Human_Chess_Game.png	Adventure				R			"Effect: During each of your opponent's turns, he or she can play cards only if you played 1 or more cards during your previous turn.  To Solve: Your opponent chooses and discards 1 of his or her Characters in play (other than his or her starting Character) or 8 cards from his or her hand.  Opponent's Reward: Your opponent may draw 3 cards."
Illegibilus	Base_Set	Illegibilus.png	Spell	5C			C		Charms	Look at your opponent's hand. Choose 1 of those cards and discard it.
Incarcifors	Base_Set	Incarcifors.png	Spell	6T			C		Transfiguration	Choose 1 of your opponent's Creatures in play and discard it.
Incendio	Base_Set	Incendio.png	Spell	3C			R		Charms	Count the number of [C] Lessons you have in play. Do that much damage to a Creature of your choice.
Invisibility Cloak	Base_Set	Invisibility_Cloak.png	Item - Gryffindor	13T			R	Unique	Transfiguration	"Once during each of your opponent's turns, you may prevent all damage done by a Spell card."
Kelpie	Base_Set	Kelpie.png	Creature - Kelpie	3F	1	5	U		Creatures	"To play this card, discard 1 of your [F] Lessons from play. Whenever a Spell card damages you, you may let Kelpie take that damage instead."
Logic Puzzle	Base_Set	Logic_Puzzle.png	Spell	6C			U		Charms	Discard the Adventure your opponent has played. You get the reward.
Lost Notes	Base_Set	Lost_Notes.png	Spell	5T			C		Transfiguration	Choose 1 of your opponent's Items or Lessons in play and discard it.
Magical Mishap	Base_Set	Magical_Mishap.png	Spell	2C			C		Charms	Do 3 damage to your opponent.
Malevolent Mixture	Base_Set	Malevolent_Mixture.png	Spell	5P			R		Potions	"To play this card, discard 2 of your [P] Lessons from play. Do 10 damage to your opponent or to a Creature of your choice."
Meet the Centaurs	Base_Set	Meet_the_Centaurs.png	Adventure				R			Effect: Your opponent plays with his or her hand face up.  To Solve: Your opponent discards his or her hand. (Your opponent may do this even if his or her hand is empty.)  Opponent's Reward: You play with your hand face up for the rest of the game.
Mountain Troll	Base_Set	Mountain_Troll.png	Creature - Troll	8F	4	4	R		Creatures	
Mrs. Norris	Base_Set	Mrs_Norris.png	Creature - Cat	2F		1	R	Unique	Creatures	Your opponent plays with his or her hand face up.
Mysterious Egg	Base_Set	Mysterious_Egg.png	Spell	4F			U		Creatures	"Search your deck. You may take a Creature card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck."
Nearly Headless Nick	Base_Set	Nearly_Headless_Nick.png	Character - Ghost - Gryffindor				R	Unique		"Once per game you may search your deck. When you do, you may take up to 2 Item cards from your deck, show them to your opponent and put them in your hand.  Then shuffle your deck."
Norbert	Base_Set	Norbert.png	Creature - Dragon	4F	5	3	R	Unique	Creatures	"To play this card, discard 2 of your [F] Lessons from play."
Noxious Potion	Base_Set	Noxious_Potion.png	Spell	3P			C		Potions	"To play this card, discard 1 of your [P] Lessons from play. Do 5 damage to your opponent or to a Creature of your choice."
Nurture	Base_Set	Nurture.png	Spell	2F			U		Creatures	Remove all damage counters from all of your Creatures.
Obliviate	Base_Set	Obliviate.png	Spell	12C			R		Charms	Your opponent discards his or her hand.
Ollivanders	Base_Set	Ollivanders.png	Spell	1C			U		Charms	Put an Item card from your discard pile into your hand.
Out of the Woods	Base_Set	Out_of_the_Woods.png	Spell	5C			C		Charms	Look at your opponent's hand. Discard all Creature cards from it.
Peeves Causes Trouble	Base_Set	Peeves_Causes_Trouble.png	Adventure				U			"Effect: Whenever your opponent draws 1 or more cards, he or she then takes 1 damage.  To Solve: Your opponent skips a total of 5 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: You take 3 damage."
Pet Rat	Base_Set	Pet_Rat.png	Creature - Rat	1F	1	4	C		Creatures	"To play this card, discard 1 of your [F] Lessons from play."
Pet Toad	Base_Set	Pet_Toad.png	Creature - Toad	2F		1	U		Creatures	"Whenever a Spell card damages you, you may let Pet Toad take that damage instead."
Pewter Cauldron	Base_Set	Pewter_Cauldron.png	Item - Cauldron	5P			C		Potions	"Provides 3[P].  To play this card, discard 1 of your [P] Lessons from play."
Phoenix Feather Wand	Base_Set	Phoenix_Feather_Wand.png	Item - Wand	7C			R		Charms	"Provides 4[C]. Play this card only is you have cards in play that provide at least 3C Power. If you play this card, and you already have a Wand in play, discard the old one."
Platform 9 3/4	Base_Set	Platform_9_3_4.png	Spell	5T			R		Transfiguration	"To play this card, discard 1 of your Lessons from play. You get 2 more Actions this turn."
Pomfrey's Pick-Me-Up	Base_Set	Pomfrey's_Pick-Me-Up.png	Spell - Healing	3P			U		Potions	Put up to 3 non-Healing cards from your discard pile on the bottom of your deck (in any order). Then draw a card.
Potion Ingredients	Base_Set	Potion_Ingredients.png	Item	5P			R		Potions	"When a Spell card damages you, you may discard this card from play to prevent all of that damage."
Potions	Base_Set	Potions.png	Lesson				C		Lesson - Potions	Provides [P]
Potions Exam	Base_Set	Potions_Exam.png	Spell	10P			U		Potions	Your opponent chooses 3 of his or her cards in play and discards them (if your opponent has fewer than 3 cards in play he or she discards them all). Your opponent may prevent this by choosing 1 of his or her [P] Lessons in play and discarding it.
Potions Mistake	Base_Set	Potions_Mistake.png	Spell	6P			C		Potions	"To play this card, discard 3 of your [P] Lessons from play. Choose 1 of your opponent's Creatures or Items in play and discard it."
Professor Filius Flitwick	Base_Set	Professor_Filius_Flitwick.png	Character - Wizard - Ravenclaw				R	Unique		"Provides [C].  Once per game, you may trade 2 cards in your hand for 1 card in your discard pile that needs [C] Power. "
Professor Severus Snape	Base_Set	Professor_Severus_Snape.png	Character - Healing - Wizard - Slytherin				R	Unique		"Provides [P].  Once per game, you may shuffle up to 7 non-Healing cards from your discard pile into your deck."
Raven to Writing Desk	Base_Set	Raven_to_Writing_Desk.png	Spell	1T			R		Transfiguration	"If your opponent has 2 or more Creatures in play, choose 1 of them and discard it."
Remembrall	Base_Set	Remembrall.png	Item	8T			C		Transfiguration	"During your turn, you may use an Action to put a Lesson card from your discard pile into play."
Reptile House	Base_Set	Reptile_House.png	Adventure				U			Effect: Your opponent can't use more than 1 Action to play Lesson cards during each of his or her turns.  To Solve: Your opponent chooses 4 of his or her Lessons in play and discards them.  Opponent's Reward: Your opponent may draw a card.
Restricted Sectioon	Base_Set	Restricted_Sectioon.png	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [T] Lessons in play and discard it.
Ron Weasley	Base_Set	Ron_Weasley.png	Character - Wizard - Gryffindor				R	Unique		"Whenever you play a Character card, you use up 1 Action to play it instead of 2."
Rubeus Hagrid	Base_Set	Rubeus_Hagrid.png	Character				R	Unique		"Whenever 1 of your Creatures does 3 or more damage to your opponent, it does 2 more damage than it usually would."
Scottish Stag	Base_Set	Scottish_Stag.png	Creature - Deer	4F	1	5	C		Creatures	
Shrinking Potion	Base_Set	Shrinking_Potion.png	Spell	8P			R		Potions	"During your opponent's next turn, prevent all damage done to you."
Silver Cauldron	Base_Set	Silver_Cauldron.png	Item - Cauldron	8P			U		Potions	"Provides 5[P].  To play this card, discard 2 of your [P] Lessons from play."
Snape's Question	Base_Set	Snape's_Question.png	Spell	3P			C		Potions	Do 4 damage to your opponent. Your opponent may prevent this damage by showing you a [P] Lesson from his or her hand.
Snuffling Potion	Base_Set	Snuffling_Potion.png	Spell	4P			U		Potions	"Next turn, whenever your opponent draws a card, he or she discards it instead of putting it into his or her hand."
Squiggle Quill	Base_Set	Squiggle_Quill.png	Spell	2T			C		Transfiguration	Choose 1 of your opponent's Items in play and discard it.
Steelclaw	Base_Set	Steelclaw.png	Spell	4T			C		Transfiguration	All your Creatures do damage to your opponent.
Stupefy	Base_Set	Stupefy.png	Spell	6C			U		Charms	Do 5 damage to your opponent.
Surly Hound	Base_Set	Surly_Hound.png	Creature - Dog	3F	1	3	C		Creatures	
Take Root	Base_Set	Take_Root.png	Spell	5T			U		Transfiguration	Your opponent chooses 1 of his or her Creatures in play and discards it.
Titillando	Base_Set	Titillando.png	Spell	9C			R		Charms	"Do 3 damage to your opponent or to a Creature of your choice. Then your opponent chooses 3 cards in his or her hand and discards them. (If there are fewer than 3 cards in your opponent's hand, he or she discards them all.)"
Toe Biter	Base_Set	Toe_Biter.png	Spell	3C			C		Charms	Do 2 damage to your opponent. You may also choose a Creature and do 2 damage to it.
Transfiguration	Base_Set	Transfiguration.png	Lesson				C		Lesson - Transfiguration	Provides [T]
Transfiguration Exam	Base_Set	Transfiguration_Exam.png	Spell	10T			R		Transfiguration	Discard all Creatures from play (even your own).
Transfiguration Test	Base_Set	Transfiguration_Test.png	Spell	5T			R		Transfiguration	"If your opponent has 2 or more Creatures in play, he or she chooses 1 of them and discards the rest. Then, if you have 2 or more Creatures in play, choose 1 of them and discard the rest."
Transmogrify	Base_Set	Transmogrify.png	Spell	2T			U		Transfiguration	"To play this card, discard 1 of your Creatures from play. Search your deck. You may take a Creature card from your deck, show it to your opponent and put it in your hand. Then shuffle your deck."
Troll in the Bathroom	Base_Set	Troll_in_the_Bathroom.png	Adventure				R			"Effect: Before each of your turns, your opponent takes 2 damage.  To Solve: Your opponent chooses 7 cards in his or her hand and discards them.  Opponent's Reward: You take 4 damage."
Unicorn	Base_Set	Unicorn.png	Creature - Unicorn	6F		6	R		Creatures	"To play this card, discard 1 of your [F] Lessons from play. You get 1 more Action on each of your turns (including the turn you play Unicorn)."
Unusual Pets	Base_Set	Unusual_Pets.png	Adventure				U			"Play this card only if your opponent has any Creatures in play.  Effect: Before each of your turns, your opponent takes 4 damage.  To Solve: Your opponent chooses 2 of his or her Creatures in play and discards them.  Opponent's Reward: Your opponent may draw a card."
Vanishing Glass	Base_Set	Vanishing_Glass.png	Spell	9T			U		Transfiguration	"Play this card only if your opponent has any Lessons in play. Choose 1 of those Lessons and discard it. Search your deck. You may take a Creature card from your deck, show it to your opponent and put it in your hand. Then shuffle your deck."
Vermillious	Base_Set	Vermillious.png	Spell	4C			C		Charms	Do 3 damage to your opponent or to a Creature of your choice.
Vicious Wolf	Base_Set	Vicious_Wolf.png	Creature - Wolf	6F	3	3	C		Creatures	
Wingardium Leviosa!	Base_Set	Wingardium_Leviosa.png	Spell	1C			C		Charms	"During your opponent's next turn, prevent all damage done to you by your opponent's Creatures."
Winged Keys	Base_Set	Winged_Keys.png	Item	10T			U		Transfiguration	"Once during each of your turns, you may choose 1 of your opponent's Creatures in play. Prevent all damage done by that Creature until the end of your opponent's next turn."
Wizard Crackers	Base_Set	Wizard_Crackers.png	Spell	1C			C		Charms	"Reveal the top card of your deck. If it's a Lesson card, put it into play. If it isn't, put the card in your hand."
Alicia Spinnet	Heir_of_Slytherin	Alicia_Spinnet.png	Character - Witch - Gryffindor - Chaser				R	Unique		"If there is a Match in play, whenever 1 your cards that needs [Q] Power does damage, it does 1 more damage."
Aragog	Heir_of_Slytherin	Aragog.png	Creature - Spider	8F	2	8	R	Unique	Creatures	"To play this card, discard 1 of your [F] Lessons from play. Whenever another of your Spiders does damage, it does 2 more damage."
Aragog's Lair	Heir_of_Slytherin	Aragog's_Lair.png	Location	4F			U	Unique	Creatures	"When you play this card, discard any other Location from play (yours or an opponent's).  Each Spider has 2 more Health (even your opponents')."
Arania Exumai	Heir_of_Slytherin	Arania_Exumai.png	Spell	5C			U		Charms	Do 2 damage to a Creature of your choice. Then do 3 damage to all Spider Creatures (even your own).
Armando Dippet	Heir_of_Slytherin	Armando_Dippet.png	Character - Wizard - Headmaster				R	Unique		"At the end of each of your turns, if you played a Gryffindor, Hufflepuff, Ravenclaw, or Slytherin card, you may draw a card or deal 2 damage to an opponent."
Baby Acromantula	Heir_of_Slytherin	Baby_Acromantula.png	Creature - Spider	3F	1	1	C		Creatures	"When you play this card, search your deck. You may take a Baby Acromantula from your deck, reveal it, and put it into your hand. Then shuffle your deck."
Basilisk Fang	Heir_of_Slytherin	Basilisk_Fang.png	Item	6P			U		Potions	"When you play this card, do 2 damage to an opponent or to a Creature of your choice.  You may use an Action to discard this card. If you do, choose an opponent's Item in play and discard it."
Bowtruckle	Heir_of_Slytherin	Bowtruckle.png	Creature - Plant	4F		1	U		Creatures	"When another of your Plant Creatures takes damage, this card deals 1 damage to an opponent of your choice."
Break with a Banshee	Heir_of_Slytherin	Break_with_a_Banshee.png	Item - Book	3Q			U		Quidditch	"Provides [Q].  During your turn, you may discard this card from play. If you do, choose a non-Healing Match with printed Power cost of 1 in your discard pile. Play it as if it were in your hand. (You must still use an Action to play the card.)"
Cancelled Exams	Heir_of_Slytherin	Cancelled_Exams.png	Spell	7Q			R		Quidditch	"Choose an opponent. On their next turn, they gain 1 more Action. On your next turn, you gain 2 more Actions."
Cauldron Calamity	Heir_of_Slytherin	Cauldron_Calamity.png	Spell	3P			C		Potions	"To play this card, discard any number of your [P] Lessons from play.  For each [P] Lesson discarded, do 2 damage to an opponent or Creature of your choice. (You may choose the same target multiple times.)"
Chamber of Secrets	Heir_of_Slytherin	Chamber_of_Secrets.png	Location	5P			R	Unique	Potions	"When you play this card, discard any other Location from play (yours or an opponent's).  Cards cannot be played from or leave their owner's discard piles."
Circling the Goal Posts	Heir_of_Slytherin	Circling_the_Goal_Posts.png	Spell	5Q			U		Quidditch	"Do 3 damage to an opponent. Then draw a card.  At the end of each of your turns, if this card is in your discard pile and a Spell did at least 5 damage to an opponent, you may discard a card from your hand to put this card into your hand. "
Colin's Camera	Heir_of_Slytherin	Colin's_Camera.png	Item	5T			C	Unique	Transfiguration	"Before each of your turns, draw a card. Then all your opponents draw a card."
Cornish Pixie	Heir_of_Slytherin	Cornish_Pixie.png	Creature - Pixie	5F	1	1	U		Creatures	"When you play this card, look at an opponent's hand. You may choose a card and place it under this card. (Cards under this card cannot be interacted with.)  When this card leaves play, return that card to its owner's hand."
Deathday Party	Heir_of_Slytherin	Deathday_Party.png	Adventure				U			"Effect: Whenever a card is discarded from play, your opponent says 'Rest in peace.' If your opponent forgets, they take 3 damage at the end of the turn.  To Solve: Your opponent chooses 3 Lessons in their hand and discards them.  Opponent's Reward: Your o"
Dobby	Heir_of_Slytherin	Dobby.png	Character - House Elf				R	Unique		"During each opponent's turn, you may prevent up to 4 damage done to you. If any damage is prevented in this way, at the end of that turn, that opponent may choose a non-Healing card in play other than Dobby. Return that card to its owner's hand."
Dobby is Free!	Heir_of_Slytherin	Dobby_is_Free.png	Adventure				R			Effect: Your opponent may only use Actions to draw or play cards.  To Solve: Your opponent uses Actions to play cards 4 times.  Opponent's Reward: Your opponent may choose 1 of your Characters in play. Their starting Character gains the abilities of the c
Dodging the Bludger	Heir_of_Slytherin	Dodging_the_Bludger.png	Spell	4Q			C		Quidditch	Do 2 damage to your opponent. Then draw a card. You may put a [Q] Lesson from your hand into play.
Draco's Superiority	Heir_of_Slytherin	Draco's_Superiority.png	Spell	6Q			U		Quidditch	"Search your deck. You may take a Broom from your deck, reveal it, and put it into your hand. Then shuffle your deck. If that card's printed Power cost is 5 or more, do 5 damage to an opponent."
Drawing the Sword	Heir_of_Slytherin	Drawing_the_Sword.png	Spell	6T			R		Transfiguration	Play this card only if you have a Gryffindor Witch or Wizard in play.  Do 6 damage divided as you choose among any number of Creatures.
Dueling Club	Heir_of_Slytherin	Dueling_Club.png	Location	3C			R		Charms	"When you play this card, discard any other Location from play (yours or an opponent's).  At the end of each player's turn, if that player used an Action to play a Spell, they draw a card."
Dueling Practice	Heir_of_Slytherin	Dueling_Practice.png	Spell	3C			C		Charms	"Do 1 damage to an opponent. At the end of your turn, draw 2 cards."
Dumbledore's Suspension	Heir_of_Slytherin	Dumbledore's_Suspension.png	Adventure				R			Play this card only if you have at least 4 Lessons in play.  Effect: Your opponent's starting Character loses all abilities (including any Lessons provided).  To Solve: Your opponent skips a total of 3 Actions.  Opponent's Reward: The next Spell your oppo
Eat Slugs	Heir_of_Slytherin	Eat_Slugs.png	Spell	1C			C		Charms	Do 2 damage to yourself. Then draw a card.
"Enemies of the Heir, Beware"	Heir_of_Slytherin	Enemies_of_the_Heir_Beware.png	Spell	9P			C		Potions	"Choose a card type. Your opponent reveals their hand, then discards all cards of that card type. They take damage equal to the number of cards discarded in this way."
Essential Knowledge Test	Heir_of_Slytherin	Essential_Knowledge_Test.png	Item	3T			U		Transfiguration	"Whenever you would draw a card, except during your draw step, you may choose not to."
Expelliarmus	Heir_of_Slytherin	Expelliarmus.png	Spell	3C			C		Charms	"Choose 1 of your opponent's Items in play and discard it. If that item was a Wand, during their next turn, they can’t use Actions to play Spells."
Forest Spider	Heir_of_Slytherin	Forest_Spider.png	Creature - Spider	8F	3	3	C		Creatures	"While this card is in your hand, it requires 1 less Power to play for each of your Spiders in play."
Gadding with Ghouls	Heir_of_Slytherin	Gadding_with_Ghouls.png	Item - Book	3T			C		Transfiguration	"Provides [T].  During your turn, you may discard this card from play. If you do, choose a non-Healing Item with printed Power cost 2 or less in your discard pile. Play it as if it were in your hand. (You must still use an Action to play the card.)"
Hogwarts Pipes	Heir_of_Slytherin	Hogwarts_Pipes.png	Location	2P			U		Potions	"When you play this card, discard any other Location from play (yours or an opponent's).  When any player takes damage, they discard cards from the bottom of their deck instead of the top."
Holidays with Hags	Heir_of_Slytherin	Holidays_with_Hags.png	Item - Book	3P			U		Potions	"Provides [P].  You may use an Action to discard this card from play. If you do, put up to 2 Lessons of the same type from your discard pile into play."
Immobulus	Heir_of_Slytherin	Immobulus.png	Spell	4C			R		Charms	"Choose an opponent. During their next turn, prevent all damage done to you by their Creatures.  Until the beginning of your next turn, if one of their Creatures takes damage, discard that Creature."
Katie Bell	Heir_of_Slytherin	Katie_Bell.png	Character - Witch - Gryffindor - Chaser				R	Unique		"If there is a Match in play, whenever a card (yours or an opponent's) does damage to you, it does 1 less damage."
Kheshakhassa	Heir_of_Slytherin	Kheshakhassa.png	Spell	5P			U		Potions	"To play this card, discard 1 of your [P] Lessons from play. Search your deck. You may take a Location that needs [P] Power with printed Power cost 5 or less from your deck and put it into play. Then shuffle your deck."
Lockhart's Office	Heir_of_Slytherin	Lockhart's_Office.png	Location	3T			U	Unique	Transfiguration	"When you play this card, discard any other Location card in play (yours or an opponent’s).  Once during each player's turn, that player may discard any number of cards from their hand."
Loyalty's Reward	Heir_of_Slytherin	Loyalty's_Reward.png	Spell - Healing	8T			R		Transfiguration	"Choose 5 non-Healing cards, of different card types, in your discard pile. Your opponent chooses 1 of those cards. Put that card on the bottom of your deck and the rest into your hand. (You must choose 5 cards.)"
Lucius Malfoy	Heir_of_Slytherin	Lucius_Malfoy.png	Character - Wizard				R	Unique		"At the end of each of your turns, if you have used 5 or more Actions, you may search your deck, take any card, put it into your hand, and then shuffle your deck."
Lucius' Cane	Heir_of_Slytherin	Lucius'_Cane.png	Item - Wand	4P			R	Unique	Potions	"Provides [C].  At the end of each of your turns, do 2 damage to your opponent for each Action you have used after your second Action.  (If you play this card, and you already have a Wand card in play, discard the old one.)"
Magical Me	Heir_of_Slytherin	Magical_Me.png	Item - Book	3C			U		Charms	"Provides [C].  During your turn, you may discard this card from play. If you do, choose a non-Healing Spell with printed Power cost 2 or less in your discard pile. Play it as if it were in your hand. (You must still use an Action to play the card.)"
Mandrake Draught	Heir_of_Slytherin	Mandrake_Draught.png	Spell - Healing	6P			U		Potions	Choose 1 of your Characters in play that has a Once per turn ability that you have already used this turn. Use that ability again without using any Actions.
Millicent Bulstrode	Heir_of_Slytherin	Millicent_Bulstrode.png	Character - Witch - Slytherin				R	Unique		"Once per turn, you may use an Action to do 1 damage to an opponent's Creature."
Mimblewimble	Heir_of_Slytherin	Mimblewimble.png	Spell	4C			C		Charms	"Do 4 damage to an opponent. During their next turn, they cannot use their first Action to play Spells."
Mis-Brewed Polyjuice	Heir_of_Slytherin	Mis-Brewed_Polyjuice.png	Spell	5P			C		Potions	"Count the number of Characters an opponent has in play and in their discard pile. Do that much damage to that opponent. Then, choose 1 of their Characters in play. Until the end of their next turn, that Character loses all abilities."
Moaning Myrtle	Heir_of_Slytherin	Moaning_Myrtle.png	Character - Ghost - Ravenclaw				R	Unique		"Once per game, you may choose an opponent's card in play. Until this card leaves play, if the chosen card is discarded from play, do 8 damage to that opponent."
